;Nome;Saldo0;Referencias;Data0;Excedente1;Data2;Excedente3;Data4;Excedente5;Data6;Excedente7;Data8;Excedente9;Data10;Excedente11
138;LM CONCRETE GREIGE MT 120X250R;"Armazem
44,85";FOK01HM041 ;;;;;;;;;;;;
139;LM CONCRETE GRAY MT 120X250 R;"Armazem
867,10";FOK01HS021 ;;;;;;;;;;;;
140;LM CONCRETE OFF WHITE MT120X120R;;FOK01MH021 ; 30/11/2022 ; 8481,60 M2; 30/09/2022 ; 6983,92 M2; 30/06/2022 ; 17962,12 M2; 30/05/2022 ; 3241,88 M2;;;;
141;LM CONCRETE GREIGE MT 120X120 R;"Armazem
34,20";FOK01MH041 ; 30/11/2022 ; 4390,42 M2; 30/09/2022 ; 5986,42 M2; 30/06/2022 ; 9528,98 M2; 30/05/2022 ; 3241,88 M2;;;;
142;LM CONCRETE GRAY MT 120X120 R;"Armazem
5,70";FOK02E8021 ; 30/11/2022 ; 11076,52 M2; 30/09/2022 ; 10777,28 M2; 30/06/2022 ; 6285,68 M2; 30/05/2022 ; 8581,35 M2;;;;
143;LM CONCRETE OFF WHITE MC120X250R;"Armazem
1477,06";FOK02HM021 ;;;;;;;;;;;;
144;LM CONCRETE GREIGE MC 120X250R;"Armazem
1061,45";FOK02HM041 ;;;;;;;;;;;;
145;LM CONCRETE GRAY MC 120X250 R;"Armazem
612,95";FOK02HS021 ;;;;;;;;;;;;
146;LM CONCRETE OFF WHITE MC120X120R;"Armazem
367,65";FOK02MH021 ; 30/11/2022 ; 1496,25 M2; 31/08/2022 ; 1496,25 M2; 31/07/2022 ; 2294,25 M2; 26/04/2022 ; 8,55 M2;;;;
147;LM CONCRETE GREIGE MC 120X120 R;;FOK02MH041 ; 30/11/2022 ; 1496,25 M2; 31/08/2022 ; 997,50 M2; 31/07/2022 ; 1097,25 M2;;;;;;
148;CONCRETE OFF WHITE ABS 120X120 R;;FOK03E8011 ; 30/09/2022 ; 997,50 M2;;;;;;;;;;
149;LM CONCRETE GRAY ABS 120X120 R;"Armazem
3573,90";FOK03E8021 ; 30/11/2022 ; 10576,35 M2; 31/10/2022 ; 5687,18 M2; 30/06/2022 ; 2942,62 M2; 30/05/2022 ; 2593,50 M2;;;;
150;LM CONCRETE GREIGE ABS 120X120 R;"Armazem
487,35";FOK03E8GG1 ; 30/11/2022 ; 1496,25 M2; 30/06/2022 ; 2693,25 M2; 23/04/2022 ; 31,35 M2;;;;;;
151;Não encontrado;;FOK04E8021 ;;;;;;;;;;;;
152;Não encontrado;;FOK05E8021 ;;;;;;;;;;;;
153;PT ARDOSIA GRAFITE MT 60X120 R;;FOR0154101 ; 10/06/2022 ; 2049,12 M2; 15/05/2022 ; 95,76 M2;;;;;;;;
154;PT ARDOSIA GRAFITE ABS 60X120R;"Armazem
60,48";FOS0254101 ; 15/05/2022 ; 390,96 M2;;;;;;;;;;
155;RV MONDRIAN WHITE ICE BR7,7X15,4;"Armazem
9606,90";FOT011S011 ;;;;;;;;;;;;
156;RV MONDRIAN GRAY BR 7,7X15,4;"Armazem
1495,44";FOT011S021 ;;;;;;;;;;;;
157;RV MONDRIAN BLACK BR 7,7X15,4;"Armazem
2082,27";FOT011S161 ;;;;;;;;;;;;
158;RV MONDRIAN WHITE ICE MT7,7X15,4;"Armazem
2934,15";FOT021S011 ;;;;;;;;;;;;
159;RV MONDRIAN GRAY MT 7,7X15,4;"Armazem
2137,14";FOT021S021 ;;;;;;;;;;;;
160;RV MONDRIAN BLACK MT 7,7X15,4;"Armazem
1349,43";FOT021S161 ;;;;;;;;;;;;
161;PP LONDON TRACE GRAY MT 30X60 R;"Armazem
235,80";FPB0157021 ;;;;;;;;;;;;
162;PP LONDON GRAY ABS 90X90 R;"Armazem
11,20";FPB019B021 ; 08/06/2022 ; 134,40 M2;;;;;;;;;;
163;PP LONDON GRAY MT 90X90 R;"Armazem
65,60";FPB029B021 ; 30/06/2022 ; 230,40 M2; 08/06/2022 ; 63,20 M2;;;;;;;;
164;PE LONDON GRAY POL 90X90 R;"Armazem
54,40";FPB039B021 ; 30/06/2022 ; 782,40 M2;;;;;;;;;;
165;PP WESTWOOD BROWN ABS 20X120 R;;FPC01C5251 ; 10/05/2022 ; 730,10 M2;;;;;;;;;;
166;PP WESTWOOD BROWN MT 20X120 R;"Armazem
685,56";FPC02C5251 ;;;;;;;;;;;;
167;PP WESTWOOD NATURAL MT 20X120 R;"Armazem
83,52";FPC02C5NT1 ;;;;;;;;;;;;
168;PS ARTISAN ANTRACITA MT 20X20;"Armazem
123,90";FPF01MB021 ;;;;;;;;;;;;
169;PS ARTISAN GRIS MT 20X20;"Armazem
312,70";FPF02MB021 ;;;;;;;;;;;;
170;PS QUILT MT 20X20;"Armazem
627,76";FPJ01FY991 ;;;;;;;;;;;;
171;LM STATUARIO ST 100X200;"Armazem
426";FPK01ZF011 ;;;;;;;;;;;;
172;LM STATUARIO MC 100X200;"Armazem
1836";FPK02ZF011 ;;;;;;;;;;;;
173;PP CARVE STEEL 30X60 R;"Armazem
1184,40";FPM0157021 ;;;;;;;;;;;;
174;PP TRACE STEEL 30X60 R;"Armazem
1159,20";FPP0157021 ;;;;;;;;;;;;
